score,name
53,hsa-miR-373-5p
53,hsa-miR-371b-5p
53,hsa-miR-376a-2-5p
53,hsa-miR-12127
53,hsa-miR-7850-5p
53,hsa-miR-655-3p
53,hsa-miR-374c-5p
53,hsa-miR-5706
53,hsa-miR-4782-5p
53,hsa-miR-760
53,hsa-miR-1288-3p
53,hsa-miR-613
53,hsa-miR-593-5p
53,hsa-miR-4715-3p
53,hsa-miR-4477a
53,hsa-miR-659-5p
53,hsa-miR-6759-5p
53,hsa-miR-4261
53,hsa-miR-8061
53,hsa-miR-4529-5p
52,hsa-miR-196b-5p
52,hsa-miR-196a-5p
52,hsa-miR-620
52,hsa-miR-1270
52,hsa-miR-215-3p
52,hsa-miR-892a
52,hsa-let-7f-1-3p
52,hsa-miR-187-5p
52,hsa-miR-424-3p
52,hsa-miR-4451
52,hsa-miR-10523-5p
52,hsa-miR-4446-3p
52,hsa-miR-372-5p
52,hsa-miR-4693-5p
52,hsa-miR-12136
52,hsa-miR-223-5p
52,hsa-miR-548ah-5p
52,hsa-miR-5579-5p
52,hsa-miR-210-3p
52,hsa-miR-7703
52,hsa-miR-22-5p
52,hsa-miR-193b-3p
52,hsa-miR-193a-3p
52,hsa-miR-6071
52,hsa-miR-5692a
52,hsa-miR-502-5p
51,hsa-miR-6730-5p
51,hsa-miR-3942-3p
51,hsa-miR-3924
51,hsa-miR-7849-3p
51,hsa-miR-6766-5p
51,hsa-miR-6756-5p
51,hsa-miR-331-5p
51,hsa-miR-155-5p
51,hsa-miR-4685-3p
51,hsa-miR-4287
51,hsa-miR-1183
51,hsa-miR-4316
51,hsa-miR-182-5p
51,hsa-miR-6852-3p
51,hsa-miR-654-3p
51,hsa-miR-4534
51,hsa-miR-487a-3p
51,hsa-miR-5197-5p
51,hsa-miR-4662a-5p
51,hsa-miR-4470
51,hsa-miR-548ao-3p
50,hsa-miR-6715b-3p
50,hsa-miR-1266-3p
50,hsa-miR-4645-3p
50,hsa-miR-591
50,hsa-miR-150-3p
50,hsa-miR-12121
50,hsa-miR-6874-5p
50,hsa-miR-875-5p
